Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-10-16,12.0,15.0,13.5,4.5,7.5,15.0,15.0,10.5,21.0,114.0
2010-10-16,3.0,3.0,3.0,4.5,22.5,4.5,6.0,16.5,23.399999999999999,86.4
2010-10-16,7.5,13.5,12.0,4.5,4.5,6.0,4.5,36.0,9.5999999999999979,98.1
2010-10-16,25.5,3.0,7.5,12.0,4.5,6.0,4.5,9.0,9.5999999999999996,81.6
2010-10-16,9.0,9.0,3.0,16.5,4.5,15.0,7.5,9.0,12.599999999999998,86.1
2010-10-16,3.0,15.0,10.5,22.5,6.0,7.5,25.5,12.0,25.199999999999999,127.2
2010-10-16,4.5,3.0,15.0,3.0,36.0,9.0,4.5,13.5,25.199999999999999,113.7
2010-10-21,6.0,3.0,3.0,13.5,7.5,6.0,9.0,3.0,32.399999999999999,83.4
2010-10-21,3.0,21.0,4.5,37.5,6.0,4.5,6.0,12.0,22.199999999999999,116.7
2010-10-21,12.0,7.5,4.5,9.0,9.0,4.5,9.0,10.5,12.0,78.0
2010-10-21,7.5,3.0,7.5,6.0,6.0,6.0,6.0,4.5,9.0,55.5
2010-10-21,12.0,13.5,10.5,7.5,9.0,6.0,9.0,9.0,22.199999999999999,98.7
2010-10-21,12.0,13.5,9.0,10.5,13.5,3.0,3.0,7.5,8.3999999999999986,80.4
2010-10-21,4.5,13.5,3.0,3.0,6.0,15.0,3.0,9.0,23.399999999999999,80.4
2010-10-21,7.5,34.5,18.0,16.5,6.0,3.0,7.5,4.5,22.199999999999999,119.7
2010-10-21,13.5,9.0,3.0,9.0,6.0,4.5,4.5,7.5,12.6,69.6
2010-10-21,3.0,15.0,7.5,21.0,9.0,15.0,7.5,9.0,19.800000000000001,106.8
2010-10-23,3.0,3.0,12.0,10.5,9.0,3.0,3.0,4.5,10.199999999999999,58.2
2010-10-23,3.0,12.0,12.0,18.0,4.5,10.5,9.0,3.0,21.600000000000001,93.6
2010-10-23,12.0,3.0,4.5,3.0,6.0,4.5,16.5,13.5,9.5999999999999979,72.6
2010-10-23,3.0,4.5,10.5,4.5,6.0,7.5,13.5,12.0,10.199999999999999,71.7
2010-10-23,3.0,3.0,3.0,6.0,13.5,10.5,21.0,15.0,13.199999999999999,88.2
2010-10-23,3.0,10.5,12.0,4.5,3.0,3.0,4.5,19.5,26.399999999999999,86.4
2010-10-23,12.0,6.0,16.5,21.0,9.0,4.5,13.5,13.5,18.0,114.0
2010-10-23,12.0,4.5,3.0,3.0,18.0,13.5,3.0,13.5,10.800000000000001,81.3
2010-10-23,4.5,12.0,6.0,6.0,4.5,4.5,3.0,25.5,10.199999999999999,76.2
2010-10-23,3.0,3.0,18.0,12.0,3.0,4.5,3.0,7.5,13.199999999999999,67.2
2010-10-26,9.0,18.0,10.5,10.5,9.0,15.0,15.0,6.0,19.199999999999999,112.2
2010-10-26,4.5,6.0,10.5,4.5,12.0,16.5,12.0,4.5,13.800000000000001,84.3
2010-10-26,3.0,9.0,10.5,9.0,10.5,12.0,7.5,4.5,9.0,75.0
2010-10-26,4.5,10.5,9.0,6.0,6.0,16.5,7.5,7.5,24.0,91.5
2010-10-26,10.5,25.5,4.5,6.0,7.5,9.0,13.5,12.0,9.0,97.5
2010-10-26,4.5,6.0,3.0,3.0,9.0,10.5,9.0,12.0,18.600000000000001,75.6
2010-10-26,10.5,10.5,10.5,7.5,13.5,13.5,10.5,3.0,9.0,88.5
2010-10-26,19.5,15.0,3.0,12.0,9.0,25.5,7.5,7.5,13.800000000000001,112.8
2010-10-26,12.0,9.0,19.5,7.5,6.0,12.0,15.0,3.0,21.600000000000001,105.6
2010-10-26,10.5,3.0,6.0,6.0,6.0,7.5,16.5,7.5,19.199999999999999,82.2
2010-10-27,3.0,18.0,7.5,3.0,13.5,4.5,4.5,10.5,10.799999999999995,75.3
2010-10-27,3.0,3.0,3.0,9.0,7.5,4.5,22.5,9.0,19.199999999999999,80.7
2010-10-27,3.0,4.5,16.5,10.5,4.5,3.0,12.0,3.0,29.399999999999999,86.4
