,GameID,Date,Prev_Game_ID,Next_Game_ID,PlayerID,PlayerName,Position,TeamID,TeamName,Fantasy_Points,AvgPoints2Game,AvgPoints4Game,AvgPoints10Game,Projection,Salary
0,2134698.0,2016-09-30,,2134760,48131.0,Cesar Rigamonti,G,6035.0,Quilmes AC,26,,,,0,2000
1,2134698.0,2016-09-30,,2134760,92767.0,Gaston Bottino,M,6035.0,Quilmes AC,2,,,,0,2000
2,2134698.0,2016-09-30,,2134760,14320.0,Diego Colotto,D,6035.0,Quilmes AC,10,,,,0,2000
3,2134698.0,2016-09-30,,2134760,63915.0,Matias Sarulyte,D,6035.0,Quilmes AC,22,,,,0,2000
4,2134698.0,2016-09-30,,2134760,276043.0,Matias Orihuela,D,6035.0,Quilmes AC,23,,,,0,2000
5,2134698.0,2016-09-30,,2134760,391031.0,Hernan Nicolas Da Campo,M,6035.0,Quilmes AC,31,,,,0,2000
6,2134698.0,2016-09-30,,,48117.0,Fernando de la Fuente,M,6035.0,Quilmes AC,5,,,,0,2000
7,2134698.0,2016-09-30,,2134760,14135.0,Matias Escobar,M,6035.0,Quilmes AC,0,,,,0,2000
8,2134698.0,2016-09-30,,,,Juan Manuel Trejo,M,6035.0,Quilmes AC,6,,,,0,2000
9,2134698.0,2016-09-30,,2134760,180848.0,Federico Andrada,F,6035.0,Quilmes AC,-6,,,,0,2000
10,2134698.0,2016-09-30,,2134760,442630.0,Nicolas Benegas,F,6035.0,Quilmes AC,29,,,,0,2000
11,2134698.0,2016-09-30,,2134760,86189.0,Ismael Benegas,D,6035.0,Quilmes AC,15,,,,0,2000
12,2134698.0,2016-09-30,,2134760,322763.0,Matias Perez Acuna,D,6035.0,Quilmes AC,9,,,,0,2000
13,2134698.0,2016-09-30,,2134760,433297.0,Gabriel Ramirez,M,6035.0,Quilmes AC,-2,,,,0,2000
14,2134698.0,2016-09-30,,,,Nereo Champagne,M,6031.0,Olimpo,-12,,,,0,2000
15,2134698.0,2016-09-30,,2134756,24232.0,Emiliano Tellechea,M,6031.0,Olimpo,-5,,,,0,2000
16,2134698.0,2016-09-30,,2134756,91617.0,Carlos Rodriguez,M,6031.0,Olimpo,12,,,,0,2000
17,2134698.0,2016-09-30,,2134756,51576.0,Victor Lopez,M,6031.0,Olimpo,8,,,,0,2000
18,2134698.0,2016-09-30,,2134756,51296.0,Jacobo Mansilla,M,6031.0,Olimpo,8,,,,0,2000
19,2134698.0,2016-09-30,,2134814,299192.0,Julian Fernandez,M,6031.0,Olimpo,-2,,,,0,2000
20,2134698.0,2016-09-30,,2134756,232701.0,Lucas Villarruel,M,6031.0,Olimpo,1,,,,0,2000
21,2134698.0,2016-09-30,,2134766,52809.0,Jonatan Blanco,M,6031.0,Olimpo,4,,,,0,2000
22,2134698.0,2016-09-30,,2134756,139062.0,Jose Correa,M,6031.0,Olimpo,-2,,,,0,2000
23,2134698.0,2016-09-30,,2134756,125537.0,Fernando Coniglio,M,6031.0,Olimpo,-12,,,,0,2000
24,2134698.0,2016-09-30,,2134756,207384.0,Francisco Pizzini,M,6031.0,Olimpo,2,,,,0,2000
25,2134698.0,2016-09-30,,2134930,267002.0,Nicolas Alvarez,M,6031.0,Olimpo,-3,,,,0,2000
26,2134698.0,2016-09-30,,2134859,161757.0,Martin Perez Guedes,M,6031.0,Olimpo,-10,,,,0,2000
27,2134698.0,2016-09-30,,2134766,55874.0,Maximiliano Perez,M,6031.0,Olimpo,-8,,,,0,2000
28,2134698.0,2016-09-30,,2134760,48131.0,Cesar Rigamonti,G,6035.0,Quilmes AC,26,,,,0,2000
29,2134698.0,2016-09-30,,2134760,92767.0,Gaston Bottino,M,6035.0,Quilmes AC,2,,,,0,2000
30,2134698.0,2016-09-30,,2134760,14320.0,Diego Colotto,D,6035.0,Quilmes AC,10,,,,0,2000
31,2134698.0,2016-09-30,,2134760,63915.0,Matias Sarulyte,D,6035.0,Quilmes AC,22,,,,0,2000
32,2134698.0,2016-09-30,,2134760,276043.0,Matias Orihuela,D,6035.0,Quilmes AC,23,,,,0,2000
33,2134698.0,2016-09-30,,2134760,391031.0,Hernan Nicolas Da Campo,M,6035.0,Quilmes AC,31,,,,0,2000
34,2134698.0,2016-09-30,,,48117.0,Fernando de la Fuente,M,6035.0,Quilmes AC,5,,,,0,2000
35,2134698.0,2016-09-30,,2134760,14135.0,Matias Escobar,M,6035.0,Quilmes AC,0,,,,0,2000
36,2134698.0,2016-09-30,,,,Juan Manuel Trejo,M,6035.0,Quilmes AC,6,,,,0,2000
37,2134698.0,2016-09-30,,2134760,180848.0,Federico Andrada,F,6035.0,Quilmes AC,-6,,,,0,2000
38,2134698.0,2016-09-30,,2134760,442630.0,Nicolas Benegas,F,6035.0,Quilmes AC,29,,,,0,2000
39,2134698.0,2016-09-30,,2134760,86189.0,Ismael Benegas,D,6035.0,Quilmes AC,15,,,,0,2000
40,2134698.0,2016-09-30,,2134760,322763.0,Matias Perez Acuna,D,6035.0,Quilmes AC,9,,,,0,2000
41,2134698.0,2016-09-30,,2134760,433297.0,Gabriel Ramirez,M,6035.0,Quilmes AC,-2,,,,0,2000
42,2134698.0,2016-09-30,,,,Nereo Champagne,M,6031.0,Olimpo,-12,,,,0,2000
43,2134698.0,2016-09-30,,2134756,24232.0,Emiliano Tellechea,M,6031.0,Olimpo,-5,,,,0,2000
44,2134698.0,2016-09-30,,2134756,91617.0,Carlos Rodriguez,M,6031.0,Olimpo,12,,,,0,2000
