Date,F1,F2,M1,M2,D1,D2,U1,U2,G,Total
2014-08-16,40,10,17,14,6,6,3,3,10,109
2014-08-16,4,56,3,3,10,10,4,5,22,117
2014-08-16,19,56,5,7,6,5,6,33,22,159
2014-08-16,40,33,13,3,26,6,10,10,35,176
2014-08-16,33,10,6,3,10,6,33,3,10,114
2014-08-16,5,4,14,9,5,10,24,6,10,87
2014-08-16,4,40,3,3,10,10,33,26,28,157
2014-08-16,40,56,6,3,10,4,10,10,35,174
2014-08-16,56,9,3,3,3,10,10,10,10,114
2014-08-16,5,4,14,5,10,10,9,6,10,73
2014-08-16,9,5,10,33,4,10,13,10,16,110
2014-08-16,9,56,11,9,6,6,10,14,10,131
2014-08-16,10,19,11,10,10,10,3,56,10,139
2014-08-16,33,19,6,17,10,6,6,5,10,112
2014-08-16,56,24,3,5,13,10,3,5,10,129
2014-08-16,40,56,10,14,26,10,14,26,22,218
2014-08-16,24,9,10,3,10,13,10,10,22,111
2014-08-16,5,19,5,3,10,26,4,6,10,88
2014-08-16,24,33,7,11,10,3,5,24,28,145
2014-08-16,33,56,17,7,10,10,10,10,22,175
2014-08-16,5,4,3,10,10,10,24,6,10,82
2014-08-16,9,24,10,6,16,4,3,10,10,92
2014-08-16,19,24,10,5,16,10,5,11,22,122
2014-08-16,56,24,14,10,10,10,6,26,10,166
2014-08-16,10,4,5,3,10,3,33,26,10,104
2014-08-16,10,33,6,10,10,10,3,3,15,100
2014-08-16,56,10,6,3,6,10,19,3,10,123
2014-08-16,24,56,6,7,6,10,3,5,10,127
2014-08-16,9,33,9,10,10,10,3,5,10,99
2014-08-16,5,19,7,10,10,26,6,10,10,103
2014-08-16,56,5,3,5,13,10,26,10,22,150
2014-08-16,33,40,11,9,10,10,5,14,16,148
2014-08-16,56,19,3,3,3,5,3,10,22,124
2014-08-16,4,40,3,17,10,10,56,10,15,165
2014-08-16,5,33,9,6,10,10,7,3,15,98
2014-08-16,33,56,5,10,10,10,11,3,15,153
2014-08-16,24,5,3,17,10,10,3,17,10,99
2014-08-16,19,4,7,11,16,10,10,16,10,103
2014-08-16,40,4,5,3,10,10,10,6,10,98
2014-08-16,4,9,10,9,13,26,3,3,10,87
2014-08-16,5,40,5,14,5,26,10,10,15,130
2014-08-16,19,9,5,10,26,10,13,26,10,128
2014-08-16,24,10,5,11,6,10,17,3,10,96
2014-08-16,5,4,17,6,10,10,6,11,10,79
2014-08-16,19,5,3,6,10,10,10,40,10,113
2014-08-16,33,19,3,33,10,6,3,14,35,156
2014-08-16,24,5,14,3,26,6,10,10,22,120
2014-08-16,40,24,3,17,13,10,56,10,15,188
2014-08-16,5,19,7,17,6,10,10,3,15,92
2014-08-16,9,33,14,10,13,10,13,10,10,122
2014-08-16,24,10,7,7,10,10,19,10,10,107
2014-08-16,9,56,9,5,10,4,26,16,10,145
2014-08-16,5,4,3,10,10,10,9,10,10,71
2014-08-16,5,56,17,10,10,10,10,14,10,142
2014-08-16,4,19,3,3,6,6,3,5,16,65
2014-08-16,4,10,3,17,6,10,9,10,10,79
2014-08-16,9,10,9,3,10,10,16,56,35,158
2014-08-16,5,56,10,13,26,10,10,10,10,150
2014-08-16,5,9,3,10,6,26,10,7,35,111
2014-08-16,19,4,10,3,4,10,24,6,22,102
2014-08-16,19,56,14,10,6,16,3,5,10,139
2014-08-16,19,24,3,9,3,10,14,16,22,120
2014-08-16,24,9,3,7,10,5,7,33,10,108
2014-08-16,56,40,5,10,10,10,10,33,10,184
2014-08-16,56,33,10,6,5,6,6,10,10,142
2014-08-16,9,19,3,11,10,10,6,7,10,85
2014-08-16,9,19,7,5,10,10,10,3,10,83
2014-08-16,24,5,10,6,6,10,3,10,22,96
2014-08-16,4,33,11,33,10,10,4,3,35,143
2014-08-16,40,9,13,14,10,10,6,10,10,122
2014-08-16,24,9,7,3,3,10,10,9,16,91
2014-08-16,33,4,3,14,10,6,5,40,16,131
2014-08-16,4,24,13,14,26,10,3,3,10,107
2014-08-16,56,5,5,3,6,16,3,10,10,114
2014-08-16,10,33,17,3,4,26,7,10,28,138
2014-08-16,33,40,10,6,6,16,3,3,16,133
2014-08-16,56,40,6,11,13,10,10,10,10,166
2014-08-16,19,40,3,5,5,10,11,40,10,143
2014-08-16,56,5,5,13,10,10,10,3,22,134
2014-08-16,19,10,6,11,4,10,13,10,22,105
2014-08-16,33,4,7,14,16,10,3,16,35,138
2014-08-16,24,56,10,3,10,10,10,10,10,143
2014-08-16,40,5,6,5,10,6,14,3,10,99
2014-08-16,19,24,5,6,5,6,10,10,22,107
2014-08-16,19,24,5,33,26,13,33,5,10,168
2014-08-16,33,10,33,5,6,13,10,3,10,123
2014-08-16,33,19,5,10,10,10,10,10,10,117
2014-08-16,24,33,14,33,10,6,3,16,10,149
2014-08-16,33,19,13,5,10,13,3,9,16,121
2014-08-16,5,33,5,9,10,13,10,5,22,112
2014-08-16,5,33,3,9,10,3,24,4,10,101
2014-08-16,24,10,6,7,16,3,40,9,10,125
2014-08-16,19,4,3,7,10,3,9,19,10,84
2014-08-16,5,10,11,17,10,10,10,6,22,101
2014-08-16,24,9,5,3,16,4,10,13,10,94
2014-08-16,19,4,7,3,3,26,10,4,10,86
2014-08-16,5,56,9,10,10,10,10,13,10,133
2014-08-16,4,24,11,7,4,10,6,14,22,102
2014-08-16,33,19,3,6,10,6,33,10,16,136
2014-08-16,33,9,6,33,10,26,6,13,15,151
2014-08-16,4,19,17,7,6,10,4,6,10,83
2014-08-16,33,56,3,10,10,3,10,5,22,152
2014-08-16,4,40,10,5,6,3,6,10,10,94
2014-08-16,4,40,10,11,16,10,5,6,10,112
2014-08-16,24,40,3,6,10,10,9,10,22,134
2014-08-16,19,9,13,3,13,6,3,33,22,121
2014-08-16,19,33,10,3,6,10,14,4,10,109
2014-08-16,56,40,17,10,5,13,16,3,10,170
2014-08-16,19,40,5,17,10,13,26,10,10,150
2014-08-16,4,33,3,3,10,4,17,6,10,90
2014-08-16,9,10,33,5,10,5,40,10,10,132
2014-08-16,19,4,5,3,10,10,6,40,10,107
2014-08-16,24,56,10,10,10,6,9,3,10,138
2014-08-16,56,24,3,3,10,6,10,9,10,131
2014-08-16,56,40,10,7,3,10,33,17,28,204
2014-08-16,10,56,3,3,10,4,3,3,10,102
2014-08-16,4,33,10,3,10,10,10,5,28,113
2014-08-16,19,10,3,3,10,10,5,16,10,86
2014-08-16,5,9,3,3,10,10,10,7,10,67
2014-08-16,19,33,6,5,16,10,10,6,10,115
2014-08-16,56,9,10,5,6,6,10,56,15,173
2014-08-16,56,40,3,3,10,10,4,10,22,158
2014-08-16,56,5,13,5,13,10,26,10,10,148
2014-08-16,5,10,10,3,10,10,6,40,15,109
2014-08-16,40,10,14,33,10,10,5,10,10,142
2014-08-16,9,5,11,33,10,26,10,10,10,124
2014-08-16,33,10,3,3,10,6,3,7,28,103
2014-08-16,24,9,13,5,10,6,10,4,10,91
2014-08-16,24,56,5,11,5,3,17,10,10,141
2014-08-16,4,24,10,3,10,5,10,24,15,105
2014-08-16,4,9,3,3,4,6,11,3,22,65
2014-08-16,4,10,10,10,10,6,19,24,10,103
2014-08-16,33,40,3,7,4,3,10,56,22,178
2014-08-16,24,19,33,3,26,10,10,10,16,151
2014-08-16,10,40,3,3,16,10,5,24,22,133
2014-08-16,5,4,6,6,10,10,3,13,35,92
2014-08-16,40,9,13,7,6,10,3,10,22,120
2014-08-16,10,56,14,6,13,5,10,13,10,137
2014-08-16,19,56,5,6,16,3,5,10,10,130
2014-08-16,24,5,3,13,10,13,40,10,22,140
2014-08-16,33,19,5,7,10,10,10,40,28,162
2014-08-16,19,4,10,3,10,10,10,10,22,98
2014-08-16,9,5,5,3,5,3,9,10,10,59
2014-08-16,5,33,3,5,6,10,10,14,10,96
2014-08-16,4,40,33,5,6,10,5,5,10,118
2014-08-16,33,5,3,5,6,10,3,33,35,133
2014-08-16,40,10,7,7,3,6,10,11,10,104
2014-08-16,9,24,5,3,10,6,10,13,10,90
2014-08-16,24,40,11,7,13,4,11,6,10,126
2014-08-16,10,5,5,3,6,10,10,10,15,74
2014-08-16,33,24,13,5,6,3,6,17,16,123
2014-08-16,19,4,3,3,10,6,4,3,10,62
2014-08-16,4,40,3,33,10,10,10,3,28,141
2014-08-16,56,9,11,17,10,10,33,10,28,184
2014-08-16,19,5,14,9,10,6,10,17,10,100
2014-08-16,5,33,6,3,10,3,7,5,10,82
2014-08-16,33,9,13,17,6,10,10,10,10,118
2014-08-16,10,9,9,7,4,10,14,5,15,83
2014-08-16,40,9,6,3,10,10,10,10,10,108
2014-08-16,56,40,11,7,10,5,10,6,10,155
2014-08-16,56,4,10,33,10,10,10,33,22,188
2014-08-16,19,56,5,13,3,10,13,10,16,145
2014-08-16,24,40,9,5,4,10,3,40,10,145
2014-08-16,9,56,13,10,10,10,10,6,16,140
2014-08-16,40,19,3,10,10,5,5,40,16,148
2014-08-16,40,56,5,6,26,10,3,7,10,163
2014-08-16,19,56,3,3,6,10,5,9,10,121
2014-08-16,4,33,9,3,10,10,6,3,10,88
2014-08-16,5,19,3,14,10,6,6,9,10,82
2014-08-16,4,5,13,5,3,10,10,17,10,77
2014-08-16,56,5,6,17,10,4,3,6,10,117
2014-08-16,24,10,3,17,10,10,10,3,22,109
2014-08-16,24,10,6,3,6,10,24,10,10,103
2014-08-16,5,10,7,3,10,10,40,10,10,105
2014-08-16,33,9,3,10,10,3,3,13,10,94
2014-08-16,10,40,17,6,13,5,26,33,10,160
2014-08-16,40,19,10,11,26,10,5,6,10,137
2014-08-16,9,40,6,3,10,6,10,19,10,113
2014-08-16,10,5,5,10,10,4,10,40,10,104
2014-08-16,24,33,5,3,4,10,10,6,10,105
2014-08-16,5,9,5,6,6,10,17,56,10,124
2014-08-16,10,5,17,3,10,5,10,5,15,80
2014-08-16,33,19,10,10,10,10,10,40,35,177
2014-08-16,19,40,10,3,4,10,6,3,28,123
2014-08-16,5,40,10,14,10,10,3,3,28,123
2014-08-16,19,10,9,6,10,10,10,10,10,94
2014-08-16,19,24,33,5,10,10,10,24,10,145
2014-08-16,10,4,3,7,10,10,13,14,16,87
2014-08-16,5,10,33,14,10,6,6,5,10,99
2014-08-16,40,4,5,7,10,10,10,5,10,101
2014-08-16,10,5,3,5,6,10,6,40,10,95
2014-08-16,10,19,7,3,6,5,13,10,10,83
2014-08-16,4,10,5,33,10,6,13,10,10,101
2014-08-16,9,40,5,7,3,6,6,10,22,108
2014-08-16,40,4,3,14,6,16,9,6,28,126
2014-08-16,19,33,3,6,10,3,10,3,10,97
2014-08-16,4,24,3,5,6,13,10,56,10,131
2014-08-16,19,40,14,3,10,10,10,10,10,126
2014-08-16,19,9,14,11,3,4,10,10,10,90
2014-08-16,10,33,5,11,3,5,9,10,10,96
2014-08-16,10,5,3,14,10,13,10,6,22,93
2014-08-16,4,24,13,10,10,3,5,26,10,105
2014-08-16,5,9,10,33,10,4,33,56,10,170
2014-08-16,9,5,10,10,13,10,10,10,10,87
2014-08-16,4,33,3,6,10,10,13,56,28,163
2014-08-16,5,33,6,14,6,10,3,10,10,97
2014-08-16,4,5,3,10,10,10,13,5,10,70
2014-08-16,19,24,3,5,6,10,26,14,35,142
2014-08-16,24,10,3,7,6,10,33,10,16,119
2014-08-16,9,40,14,5,26,10,10,5,10,129
2014-08-16,19,10,11,7,4,10,10,16,22,109
2014-08-16,56,40,3,14,10,10,10,6,10,159
2014-08-16,4,33,9,17,6,10,10,10,15,114
2014-08-16,4,19,6,7,10,10,10,10,22,98
2014-08-16,40,10,5,6,13,10,10,16,16,126
2014-08-16,33,5,6,17,6,10,10,4,10,101
2014-08-16,10,9,14,17,6,5,4,11,22,98
2014-08-16,19,40,17,5,10,6,13,40,15,165
2014-08-16,24,56,3,17,10,10,3,6,28,157
2014-08-16,4,10,10,3,10,10,17,14,22,100
2014-08-16,40,56,5,3,10,10,10,56,35,225
2014-08-16,5,40,3,10,6,10,5,5,10,94
2014-08-16,33,56,10,3,10,10,17,3,22,164
2014-08-16,5,10,5,17,26,10,3,5,15,96
2014-08-16,40,9,5,5,26,10,10,3,28,136
2014-08-16,33,56,3,6,3,3,56,3,10,173
2014-08-16,5,4,11,10,6,13,3,3,15,70
2014-08-16,10,19,3,7,10,10,5,19,28,111
2014-08-16,10,9,5,3,10,10,7,11,10,75
2014-08-16,40,56,17,5,10,10,5,5,16,164
2014-08-16,24,40,10,10,6,26,10,26,10,162
2014-08-16,19,33,3,10,16,10,40,3,10,144
2014-08-16,5,19,6,6,6,10,6,6,10,74
2014-08-16,40,10,3,3,10,5,11,13,10,105
2014-08-16,19,10,6,6,6,10,10,6,28,101
2014-08-16,9,40,5,3,4,10,5,33,10,119
2014-08-16,24,4,3,3,6,5,10,5,22,82
2014-08-16,10,9,14,9,10,6,5,7,22,92
2014-08-16,19,24,3,11,10,10,10,26,10,123
2014-08-16,5,40,7,10,10,6,6,10,10,104
2014-08-16,19,10,5,11,10,10,10,5,10,90
2014-08-16,40,9,5,13,10,10,3,3,10,103
2014-08-16,56,40,33,3,5,10,5,10,10,172
2014-08-16,4,24,33,9,6,5,13,3,16,113
2014-08-16,9,10,6,5,26,10,10,13,16,105
2014-08-16,40,33,10,6,10,3,6,3,28,139
2014-08-16,24,9,3,3,10,3,16,26,10,104
2014-08-16,9,4,7,3,6,10,10,10,16,75
2014-08-16,40,9,5,17,10,10,17,10,28,146
2014-08-16,10,9,14,6,13,10,10,10,15,97
2014-08-16,56,33,3,5,6,10,3,33,35,184
2014-08-16,24,4,6,7,10,10,7,40,28,136
2014-08-16,19,40,10,3,10,10,10,10,10,122
2014-08-16,5,56,10,5,10,10,9,19,10,134
2014-08-16,56,24,3,3,4,10,5,10,10,125
2014-08-16,33,56,5,6,10,10,10,3,15,148
2014-08-16,9,40,6,3,10,13,11,10,10,112
2014-08-16,5,10,3,3,13,10,40,6,35,125
2014-08-16,24,4,5,3,26,10,10,10,10,102
2014-08-16,19,5,5,6,3,10,33,10,10,101
2014-08-16,4,56,14,3,10,10,3,10,10,120
2014-08-16,9,56,17,10,10,6,6,16,10,140
2014-08-16,40,33,10,3,6,6,5,10,15,128
2014-08-16,24,40,17,9,10,4,5,10,10,129
2014-08-16,5,19,6,10,6,10,5,26,16,103
2014-08-16,24,40,9,33,13,10,40,5,10,184
2014-08-16,10,5,5,3,10,10,10,24,10,87
2014-08-16,19,24,5,10,10,26,13,14,10,131
2014-08-16,5,4,17,6,10,10,56,7,16,131
2014-08-16,10,4,3,7,4,10,10,10,10,68
2014-08-16,5,56,3,3,3,6,3,10,35,124
2014-08-16,4,5,3,3,10,16,4,10,10,65
2014-08-16,33,9,10,17,6,3,5,9,35,127
2014-08-16,56,5,14,10,10,10,33,3,10,151
2014-08-16,10,19,3,3,10,10,14,3,22,94
2014-08-16,5,9,5,5,6,10,3,56,10,109
2014-08-16,9,5,5,13,6,6,10,7,22,83
2014-08-16,24,5,14,11,13,10,56,6,35,174
2014-08-16,9,56,10,3,6,10,6,9,10,119
2014-08-16,19,40,5,14,3,26,10,10,10,137
2014-08-16,19,24,3,5,6,16,6,6,10,95
2014-08-16,9,40,7,10,10,5,3,4,10,98
2014-08-16,33,10,13,5,10,26,5,10,16,128
2014-08-16,4,19,7,5,10,26,3,10,15,99
2014-08-16,10,40,3,3,10,4,10,19,10,109
2014-08-16,24,10,33,3,10,4,5,3,16,108
2014-08-16,40,56,3,10,10,4,10,4,28,165
2014-08-16,4,9,5,3,13,5,10,3,10,62
2014-08-16,56,19,3,7,10,6,10,3,28,142
2014-08-16,10,24,6,3,10,5,24,56,10,148
2014-08-16,24,9,6,11,10,10,14,10,10,104
2014-08-16,24,10,10,13,10,6,10,5,10,98
2014-08-16,56,40,6,3,10,10,10,17,10,162
2014-08-16,4,5,7,7,3,6,13,10,16,71
2014-08-16,33,10,7,33,5,10,5,4,35,142
2014-08-16,24,19,14,3,10,10,7,56,10,153
2014-08-16,9,40,10,14,6,10,5,14,10,118
2014-08-16,56,24,5,10,10,5,16,11,10,147
2014-08-16,40,5,6,3,3,10,10,3,22,102
2014-08-16,19,24,10,10,5,10,10,56,16,160
2014-08-16,33,19,5,6,26,10,9,10,16,134
2014-08-16,56,5,3,13,6,10,33,9,28,163
2014-08-16,4,56,3,6,3,4,6,14,10,106
2014-08-16,10,19,17,6,13,10,3,3,10,91
2014-08-16,4,5,7,3,13,6,10,16,10,74
2014-08-16,33,4,6,10,6,10,10,5,16,100
2014-08-16,24,9,3,5,10,10,10,10,10,91
2014-08-16,10,33,9,10,10,5,10,14,15,116
2014-08-16,33,9,9,5,10,10,10,19,10,115
2014-08-16,4,9,17,10,4,3,3,13,22,85
2014-08-16,56,24,10,9,6,10,56,10,10,191
2014-08-16,40,19,33,9,10,10,6,24,16,167
2014-08-16,4,9,3,6,16,6,5,40,10,99
2014-08-16,5,33,11,9,10,10,3,10,16,107
2014-08-16,56,19,10,3,10,10,33,10,10,161
2014-08-16,56,9,10,3,10,16,14,10,10,138
2014-08-16,24,10,17,6,16,10,10,5,10,108
2014-08-16,24,5,7,10,6,3,16,3,10,84
2014-08-16,4,33,11,6,16,10,5,9,16,110
2014-08-16,40,4,10,5,10,10,7,33,22,141
2014-08-16,4,24,3,17,5,10,9,13,10,95
2014-08-16,19,4,3,6,13,10,10,19,28,112
2014-08-16,4,5,17,5,3,10,10,6,10,70
2014-08-16,33,40,5,33,13,3,10,6,28,171
2014-08-16,24,9,14,5,6,3,10,5,22,98
2014-08-16,56,9,3,9,10,3,14,3,22,129
2014-08-16,56,19,3,6,6,13,14,9,10,136
2014-08-16,10,19,11,10,10,10,10,10,16,106
2014-08-16,19,33,5,10,6,5,5,5,10,98
2014-08-16,40,56,3,7,6,3,13,40,15,183
2014-08-16,5,10,7,3,10,10,10,3,10,68
2014-08-16,33,9,10,9,10,10,10,10,15,116
2014-08-16,5,10,3,6,5,10,3,4,10,56
2014-08-16,40,4,3,5,3,10,3,10,16,94
2014-08-16,33,9,3,3,10,10,10,19,10,107
2014-08-16,5,33,6,5,10,6,10,56,10,141
2014-08-16,19,4,11,6,10,10,7,33,28,128
2014-08-16,5,24,9,5,13,10,11,9,10,96
2014-08-16,9,4,3,11,16,10,13,5,22,93
2014-08-16,24,10,10,33,10,10,11,10,10,128
2014-08-16,40,4,5,5,3,10,24,5,35,131
2014-08-16,40,19,17,3,13,10,6,13,15,136
2014-08-16,10,33,3,6,3,6,14,10,10,95
2014-08-16,9,33,3,6,26,10,10,3,10,110
2014-08-16,33,56,6,9,10,6,3,10,28,161
2014-08-16,4,10,3,10,10,5,6,13,16,77
2014-08-16,24,9,5,17,10,26,3,40,15,149
2014-08-16,4,33,13,7,16,10,19,33,10,145
2014-08-16,56,33,33,7,10,13,14,3,10,179
2014-08-16,10,24,3,13,6,10,6,10,10,92
2014-08-16,19,24,9,7,3,10,3,6,10,91
2014-08-16,10,40,17,14,6,10,10,33,10,150
2014-08-16,4,10,33,17,5,3,56,10,10,148
2014-08-16,24,5,5,33,10,10,4,6,10,107
2014-08-16,4,40,3,5,13,10,3,10,10,98
2014-08-16,33,56,10,10,3,10,5,17,10,154
2014-08-16,5,4,10,6,16,4,19,7,22,93
2014-08-16,5,9,14,9,10,10,3,6,10,76
2014-08-16,56,19,3,5,10,10,10,9,10,132
2014-08-16,56,4,7,6,10,26,10,3,10,132
2014-08-16,56,40,10,3,4,10,9,33,10,175
2014-08-16,40,19,10,3,10,6,10,4,22,124
2014-08-16,5,19,6,3,4,10,3,10,15,75
2014-08-16,19,24,5,6,6,10,10,3,10,93
2014-08-16,19,40,3,3,10,6,10,33,10,134
2014-08-16,19,4,3,10,10,3,4,3,28,84
2014-08-16,4,5,10,10,10,10,14,13,10,86
2014-08-16,10,19,9,7,10,4,5,13,10,87
2014-08-16,40,19,7,33,10,10,6,10,10,145
2014-08-16,4,5,11,7,3,10,13,10,10,73
2014-08-16,10,9,10,3,10,10,7,6,10,75
2014-08-16,56,33,33,3,3,10,17,6,10,171
2014-08-16,56,40,6,5,26,6,10,11,35,195
2014-08-16,10,24,3,6,10,6,10,14,10,93
