GameID,PlayerID,Date,Points,Seconds_Played,ShotsAttempted,ShotsMade,ThreesAttempted,ThreesMade,FreeThrowsAttempted,FreeThrowsMade,Assists,Blocks,Steals,Rebounds,OffensiveRebounds,DefensiveRebounds,Turnovers,Bonus,Plus_Minus,FantasyPoints,DraftkingsPoints
945750,740461,2017-03-22,16,2026,6,6,0,0,4,4,12,0,2,5,2,3,0,2,20,32.0,45.75
945750,751328,2017-03-22,8,1292,9,3,4,2,0,0,2,0,1,4,1,3,3,0,10,12.0,17.5
945750,755630,2017-03-22,17,1708,13,7,3,1,4,2,3,0,1,7,1,6,1,0,26,23.0,32.25
945750,750031,2017-03-22,8,1575,12,4,0,0,4,0,0,1,0,17,8,9,1,0,-16,23.5,30.75
945750,736308,2017-03-22,13,999,8,5,1,1,3,2,1,0,0,6,4,2,0,0,-4,16.5,22.5
945750,750972,2017-03-22,5,1823,4,2,2,1,0,0,1,0,2,1,0,1,2,0,-25,7.0,11.25
945750,732747,2017-03-22,9,1510,10,4,1,1,0,0,7,0,3,1,0,1,2,0,-9,17.0,26.25
945750,750565,2017-03-22,0,181,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
945750,671860,2017-03-22,0,181,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.0,1.25
945750,748815,2017-03-22,14,1881,12,6,3,1,1,1,3,0,1,4,1,3,3,0,-18,17.0,24.5
945750,761280,2017-03-22,12,989,10,5,4,2,0,0,0,0,0,3,0,3,1,0,-1,12.0,16.25
945750,740088,2017-03-22,6,1189,10,3,1,0,0,0,4,0,0,1,0,1,3,0,-14,8.0,11.75
945750,748080,2017-03-22,3,876,4,1,3,1,0,0,0,0,0,2,0,2,1,0,2,4.0,5.5
945750,766554,2017-03-22,7,462,3,3,0,0,2,1,0,0,0,2,0,2,0,0,-3,7.0,9.5
945750,740363,2017-03-22,14,1891,12,5,4,0,5,4,1,0,0,3,2,1,1,0,-21,13.0,18.75
945750,727092,2017-03-22,4,843,1,1,0,0,2,2,1,0,0,3,1,2,1,0,-3,6.0,8.75
945751,751542,2017-03-22,6,1486,7,3,0,0,5,0,0,1,2,5,5,0,1,0,18,12.0,17.75
945751,671864,2017-03-22,7,509,3,3,0,0,1,1,2,1,0,5,2,3,0,0,-3,13.0,18.25
945751,755627,2017-03-22,5,1450,6,1,5,1,2,2,0,1,1,3,0,3,1,0,11,8.0,12.75
945751,748569,2017-03-22,13,846,10,6,3,1,0,0,1,0,0,0,0,0,0,0,3,11.0,15.0
945751,751269,2017-03-22,3,656,3,1,2,1,0,0,2,0,0,3,2,1,0,0,-3,7.5,10.25
945751,736514,2017-03-22,2,313,4,1,0,0,0,0,2,0,0,0,0,0,0,0,-2,3.5,5.0
945751,747432,2017-03-22,18,1888,13,7,3,1,3,3,1,0,1,2,0,2,4,0,20,15.0,22.5
